bay_id,slot_num,typedesc,fromday,today,starttime,endtime,duration_mins,disabilityext_mins,plain_english,is_strict,rule_category,id,exemption
27364,1,2P,1,0,07:30:00,22:00:00,120.0,240.0,Park for up to 2 hours. No payment required.,False,timed,34,
23544,1,2P,1,5,07:30:00,18:30:00,120.0,240.0,Park for up to 2 hours. No payment required.,False,timed,35,
24904,1,2P Meter,1,6,07:30:00,20:30:00,120.0,240.0,Park for up to 2 hours. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,36,
24904,2,2P,0,0,07:30:00,18:30:00,120.0,240.0,Park for up to 2 hours. No payment required.,False,timed,37,
25418,1,1P,1,0,07:30:00,23:00:00,60.0,120.0,Park for up to 1 hour. No payment required.,False,timed,38,
21877,1,2P Meter,1,5,07:30:00,18:30:00,120.0,240.0,Park for up to 2 hours. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,39,
24505,1,2P Ticket A,1,6,07:30:00,20:30:00,120.0,240.0,Park for up to 2 hours. Display a valid parking ticket purchased from the ticket machine.,False,timed,40,
24505,2,2P,0,0,07:30:00,18:30:00,120.0,240.0,Park for up to 2 hours. No payment required.,False,timed,41,
29854,1,1P,1,0,07:30:00,23:00:00,60.0,120.0,Park for up to 1 hour. No payment required.,False,timed,42,
24507,1,2P Ticket A,1,6,07:30:00,20:30:00,120.0,240.0,Park for up to 2 hours. Display a valid parking ticket purchased from the ticket machine.,False,timed,43,
24507,2,2P,0,0,07:30:00,18:30:00,120.0,240.0,Park for up to 2 hours. No payment required.,False,timed,44,
27222,1,P 10 Mins,1,5,07:30:00,18:30:00,10.0,20.0,Restriction: P 10 Mins. Check the physical sign for full details.,False,timed,45,
24906,1,2P Meter,1,6,07:30:00,20:30:00,120.0,240.0,Park for up to 2 hours. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,46,
24906,2,2P,0,0,07:30:00,18:30:00,120.0,240.0,Park for up to 2 hours. No payment required.,False,timed,47,
25370,1,1P,1,0,07:30:00,23:00:00,60.0,120.0,Park for up to 1 hour. No payment required.,False,timed,48,
21732,1,2P Meter,1,5,07:30:00,18:30:00,120.0,240.0,Park for up to 2 hours. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,49,
27488,1,2P Meter,1,5,07:30:00,18:30:00,120.0,240.0,Park for up to 2 hours. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,50,
25995,1,1P Meter,1,5,09:30:00,18:30:00,60.0,120.0,Park for up to 1 hour. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,51,
25995,2,2P,1,6,18:30:00,20:30:00,120.0,240.0,Park for up to 2 hours. No payment required.,False,timed,52,
25995,4,1P,0,0,07:30:00,18:30:00,60.0,120.0,Park for up to 1 hour. No payment required.,False,timed,53,
28117,1,2P Meter,1,5,07:30:00,18:30:00,120.0,240.0,Park for up to 2 hours. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,54,
28116,1,2P Meter,1,5,07:30:00,18:30:00,120.0,240.0,Park for up to 2 hours. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,55,
27525,1,1P,6,0,07:30:00,18:30:00,60.0,120.0,Park for up to 1 hour. No payment required.,False,timed,56,
25363,1,1P,1,0,07:30:00,23:00:00,60.0,120.0,Park for up to 1 hour. No payment required.,False,timed,57,
23814,1,2P Ticket A,1,6,07:30:00,20:30:00,120.0,240.0,Park for up to 2 hours. Display a valid parking ticket purchased from the ticket machine.,False,timed,58,
23814,2,2P,0,0,07:30:00,18:30:00,120.0,240.0,Park for up to 2 hours. No payment required.,False,timed,59,
23827,1,2P Meter,1,5,07:30:00,18:30:00,120.0,240.0,Park for up to 2 hours. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,60,
25373,1,1P,1,0,07:30:00,23:00:00,60.0,120.0,Park for up to 1 hour. No payment required.,False,timed,61,
24352,1,Disabled Only,1,0,20:30:00,23:59:00,1440.0,0.0,Restriction: Disabled Only. Check the physical sign for full details.,False,disabled,62,
24352,2,2P Disabled Only,1,0,07:30:00,20:30:00,120.0,0.0,Park for up to 2 hours. No payment required.,False,disabled,63,
28105,1,1/2P Meter,1,6,07:30:00,18:30:00,30.0,60.0,Park for up to 30 minutes. Pay at the parking meter.,False,timed,64,
28105,2,2P,1,6,18:30:00,20:30:00,120.0,240.0,Park for up to 2 hours. No payment required.,False,timed,65,
29027,1,3P Meter,1,6,07:30:00,18:30:00,180.0,360.0,Park for up to 3 hours. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,66,
29027,2,3P,0,0,07:30:00,18:30:00,180.0,360.0,Park for up to 3 hours. No payment required.,False,timed,67,
28126,1,2P Meter,1,6,07:30:00,20:30:00,120.0,240.0,Park for up to 2 hours. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,68,
27218,1,1P,1,0,07:30:00,22:00:00,60.0,120.0,Park for up to 1 hour. No payment required.,False,timed,69,
29061,1,2P Meter,1,5,07:30:00,18:30:00,120.0,240.0,Park for up to 2 hours. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,70,
29017,1,1P Meter,1,6,07:30:00,18:30:00,60.0,120.0,Park for up to 1 hour. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,71,
29017,2,1P,0,0,07:30:00,18:30:00,60.0,120.0,Park for up to 1 hour. No payment required.,False,timed,72,
21596,1,2P Meter,1,5,07:30:00,18:30:00,120.0,240.0,Park for up to 2 hours. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,73,
25961,1,4P Meter,1,5,07:30:00,18:30:00,240.0,480.0,Park for up to 4 hours. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,74,
25961,2,2P,6,6,07:30:00,12:30:00,120.0,240.0,Park for up to 2 hours. No payment required.,False,timed,75,
28964,1,2P Meter,1,5,09:30:00,18:30:00,120.0,240.0,Park for up to 2 hours. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,76,
28966,1,2P Meter,1,5,09:30:00,18:30:00,120.0,240.0,Park for up to 2 hours. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,77,
29580,1,4P Meter,1,5,07:30:00,18:30:00,240.0,480.0,Park for up to 4 hours. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,78,
29707,1,2P,1,6,07:30:00,23:00:00,120.0,240.0,Park for up to 2 hours. No payment required.,False,timed,79,
29715,1,2P,1,6,07:30:00,23:00:00,120.0,240.0,Park for up to 2 hours. No payment required.,False,timed,80,
29995,1,1P Ticket A,1,6,07:30:00,18:30:00,60.0,120.0,Park for up to 1 hour. Display a valid parking ticket purchased from the ticket machine.,False,timed,81,
29995,2,1P,0,0,07:30:00,18:30:00,60.0,120.0,Park for up to 1 hour. No payment required.,False,timed,82,
27984,1,4P,1,0,07:30:00,23:00:00,240.0,480.0,Park for up to 4 hours. No payment required.,False,timed,83,
27669,1,2P Area,1,0,07:30:00,23:00:00,120.0,240.0,Park for up to 2 hours. No payment required.,False,timed,84,
27669,2,2P,1,0,07:30:00,23:00:00,120.0,240.0,Park for up to 2 hours. No payment required.,False,timed,85,
26475,1,1P Meter,1,5,07:30:00,16:00:00,60.0,120.0,Park for up to 1 hour. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,86,
26475,2,2P,1,6,18:30:00,20:30:00,120.0,240.0,Park for up to 2 hours. No payment required.,False,timed,87,
26475,4,1P,0,0,07:30:00,18:30:00,60.0,120.0,Park for up to 1 hour. No payment required.,False,timed,88,
26614,1,3P Meter,1,6,07:30:00,20:30:00,180.0,360.0,Park for up to 3 hours. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,89,
26614,2,3P,0,0,07:30:00,18:30:00,180.0,360.0,Park for up to 3 hours. No payment required.,False,timed,90,
29458,1,2P Meter,1,6,07:30:00,18:30:00,120.0,240.0,Park for up to 2 hours. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,91,
29458,2,2P,0,0,07:30:00,18:30:00,120.0,240.0,Park for up to 2 hours. No payment required.,False,timed,92,
29423,1,2P Meter,1,5,07:30:00,18:30:00,120.0,240.0,Park for up to 2 hours. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,93,
30028,1,3P Meter,1,6,07:30:00,18:30:00,180.0,360.0,Park for up to 3 hours. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,94,
30028,2,3P,0,0,07:30:00,18:30:00,180.0,360.0,Park for up to 3 hours. No payment required.,False,timed,95,
26300,1,P 10 Mins,1,0,07:30:00,18:30:00,10.0,20.0,Restriction: P 10 Mins. Check the physical sign for full details.,False,timed,96,
25976,1,2P Meter,1,5,07:30:00,18:30:00,120.0,240.0,Park for up to 2 hours. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,97,
25814,1,1P Meter,1,5,07:30:00,16:00:00,60.0,120.0,Park for up to 1 hour. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,98,
25814,2,2P,1,6,18:30:00,20:30:00,120.0,240.0,Park for up to 2 hours. No payment required.,False,timed,99,
25814,4,1P,0,0,07:30:00,18:30:00,60.0,120.0,Park for up to 1 hour. No payment required.,False,timed,100,
23380,1,4P Meter,1,5,09:00:00,18:30:00,240.0,480.0,Park for up to 4 hours. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,101,
29717,1,2P,1,6,07:30:00,23:00:00,120.0,240.0,Park for up to 2 hours. No payment required.,False,timed,102,
28692,1,2P Meter,1,6,07:30:00,18:30:00,120.0,240.0,Park for up to 2 hours. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,103,
28692,2,2P,0,0,07:30:00,18:30:00,120.0,240.0,Park for up to 2 hours. No payment required.,False,timed,104,
28528,1,2P Meter,1,6,07:30:00,20:30:00,120.0,240.0,Park for up to 2 hours. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,105,
28528,2,1P,0,0,07:30:00,18:30:00,60.0,120.0,Park for up to 1 hour. No payment required.,False,timed,106,
25515,1,4P Ticket A,1,6,07:30:00,18:30:00,240.0,480.0,Park for up to 4 hours. Display a valid parking ticket purchased from the ticket machine.,False,timed,107,
29369,1,2P Meter,1,5,10:00:00,16:00:00,120.0,240.0,Park for up to 2 hours. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,108,
26568,1,1P Meter,1,5,10:00:00,16:00:00,60.0,120.0,Park for up to 1 hour. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,109,
26568,2,2P Meter,1,5,19:00:00,20:30:00,120.0,240.0,Park for up to 2 hours. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,110,
27408,1,2P Meter,1,6,07:30:00,18:30:00,120.0,240.0,Park for up to 2 hours. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,111,
27408,2,2P,0,0,07:30:00,18:30:00,120.0,240.0,Park for up to 2 hours. No payment required.,False,timed,112,
29855,1,1P,1,0,07:30:00,23:00:00,60.0,120.0,Park for up to 1 hour. No payment required.,False,timed,113,
28061,1,2P Ticket A,1,6,07:30:00,20:30:00,120.0,240.0,Park for up to 2 hours. Display a valid parking ticket purchased from the ticket machine.,False,timed,114,
28061,2,2P,0,0,07:30:00,18:30:00,120.0,240.0,Park for up to 2 hours. No payment required.,False,timed,115,
24179,1,Loading Zone 30M,1,5,09:00:00,18:30:00,30.0,0.0,Loading zone — for commercial vehicles loading or unloading goods only. Passenger vehicles may not use this space during these hours.,True,loading,116,
29494,1,3P Meter,1,5,10:00:00,16:00:00,180.0,360.0,Park for up to 3 hours. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,117,
26483,1,2P Meter,1,6,07:30:00,20:30:00,120.0,240.0,Park for up to 2 hours. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,118,
29942,1,2P Meter,1,5,07:30:00,18:30:00,120.0,240.0,Park for up to 2 hours. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,119,
23768,1,4P Meter,1,5,07:30:00,18:30:00,240.0,480.0,Park for up to 4 hours. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,120,
21811,1,1P Meter,1,5,07:30:00,18:30:00,60.0,120.0,Park for up to 1 hour. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,121,
28900,1,3P Meter,1,6,07:30:00,20:30:00,180.0,360.0,Park for up to 3 hours. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,122,
26904,1,2P Meter,1,6,07:30:00,20:30:00,120.0,240.0,Park for up to 2 hours. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,123,
26904,2,2P,0,0,07:30:00,18:30:00,120.0,240.0,Park for up to 2 hours. No payment required.,False,timed,124,
28888,1,4P Ticket A,1,5,07:30:00,18:30:00,240.0,480.0,Park for up to 4 hours. Display a valid parking ticket purchased from the ticket machine.,False,timed,125,
28782,1,2P Meter,1,6,07:30:00,20:30:00,120.0,240.0,Park for up to 2 hours. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,126,
28782,2,1P,0,0,07:30:00,18:30:00,60.0,120.0,Park for up to 1 hour. No payment required.,False,timed,127,
26650,1,2P Meter,1,5,10:00:00,16:00:00,120.0,240.0,Park for up to 2 hours. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,128,
26650,4,2P,0,0,07:30:00,18:30:00,120.0,240.0,Park for up to 2 hours. No payment required.,False,timed,129,
28051,1,2P Meter,1,5,07:30:00,18:30:00,120.0,240.0,Park for up to 2 hours. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,130,
27106,1,Loading Zone 1HR,1,0,05:00:00,12:00:00,60.0,0.0,Loading zone — for commercial vehicles loading or unloading goods only. Passenger vehicles may not use this space during these hours.,True,loading,131,
27106,2,1P Meter,1,6,12:00:00,20:30:00,60.0,120.0,Park for up to 1 hour. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,132,
27106,3,2P,0,0,12:00:00,18:30:00,120.0,240.0,Park for up to 2 hours. No payment required.,False,timed,133,
23838,1,2P Meter,1,6,07:30:00,20:30:00,120.0,240.0,Park for up to 2 hours. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,134,
23838,2,1P,0,0,07:30:00,18:30:00,60.0,120.0,Park for up to 1 hour. No payment required.,False,timed,135,
25106,1,1P Meter,1,6,07:30:00,20:30:00,60.0,120.0,Park for up to 1 hour. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,136,
25106,2,2P,0,0,07:30:00,18:30:00,120.0,240.0,Park for up to 2 hours. No payment required.,False,timed,137,
27469,1,2P Meter,1,5,07:30:00,18:30:00,120.0,240.0,Park for up to 2 hours. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,138,
23928,1,1P Meter,1,5,07:30:00,18:30:00,60.0,120.0,Park for up to 1 hour. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,139,
23928,2,1P,6,6,07:30:00,12:30:00,60.0,120.0,Park for up to 1 hour. No payment required.,False,timed,140,
21582,1,2P Meter,1,5,07:30:00,18:30:00,120.0,240.0,Park for up to 2 hours. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,141,
28965,1,1P Meter,1,5,07:30:00,16:00:00,60.0,120.0,Park for up to 1 hour. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,142,
27530,1,2P Meter,1,5,07:30:00,18:30:00,120.0,240.0,Park for up to 2 hours. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,143,
28960,1,2P Disabled Only,1,5,07:30:00,18:30:00,120.0,0.0,Park for up to 2 hours. No payment required.,False,disabled,144,
29834,1,4P Meter,1,5,07:30:00,18:30:00,240.0,480.0,Park for up to 4 hours. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,145,
25630,1,1P,1,0,07:30:00,23:00:00,60.0,120.0,Park for up to 1 hour. No payment required.,False,timed,146,
30684,1,2P,1,6,07:30:00,20:30:00,120.0,240.0,Park for up to 2 hours. No payment required.,False,timed,147,
30684,2,1P,0,0,07:30:00,18:30:00,60.0,120.0,Park for up to 1 hour. No payment required.,False,timed,148,
24983,1,Loading Zone 15M,1,5,07:30:00,16:00:00,15.0,0.0,Loading zone — for commercial vehicles loading or unloading goods only. Passenger vehicles may not use this space during these hours.,True,loading,149,
24983,2,2P Meter,1,5,16:00:00,20:30:00,120.0,240.0,Park for up to 2 hours. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,150,
24177,1,4P Meter,1,5,07:30:00,18:30:00,240.0,480.0,Park for up to 4 hours. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,151,
25352,1,2P Meter,1,0,07:30:00,23:00:00,120.0,240.0,Park for up to 2 hours. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,152,
26114,1,2P Meter,1,6,07:30:00,20:30:00,120.0,240.0,Park for up to 2 hours. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,153,
26114,2,2P,0,0,07:30:00,18:30:00,120.0,240.0,Park for up to 2 hours. No payment required.,False,timed,154,
25323,1,1P,1,0,07:30:00,22:00:00,60.0,120.0,Park for up to 1 hour. No payment required.,False,timed,155,
26223,1,2P Meter,1,6,07:30:00,20:30:00,120.0,240.0,Park for up to 2 hours. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,156,
26223,2,2P,0,0,07:30:00,18:30:00,120.0,240.0,Park for up to 2 hours. No payment required.,False,timed,157,
28204,1,1P Meter,1,6,07:30:00,18:30:00,60.0,120.0,Park for up to 1 hour. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,158,
28204,2,2P,1,6,18:30:00,20:30:00,120.0,240.0,Park for up to 2 hours. No payment required.,False,timed,159,
27685,1,2P,1,0,07:30:00,23:00:00,120.0,240.0,Park for up to 2 hours. No payment required.,False,timed,160,
30594,1,2P Meter,1,5,07:30:00,18:30:00,120.0,240.0,Park for up to 2 hours. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,161,
27889,1,2P,1,0,07:30:00,23:00:00,120.0,240.0,Park for up to 2 hours. No payment required.,False,timed,162,
28196,1,2P Meter,1,6,07:30:00,18:30:00,120.0,240.0,Park for up to 2 hours. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,163,
28196,2,2P,0,0,07:30:00,18:30:00,120.0,240.0,Park for up to 2 hours. No payment required.,False,timed,164,
30591,1,2P Meter,1,5,07:30:00,18:30:00,120.0,240.0,Park for up to 2 hours. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,165,
26734,1,2P Meter,1,5,07:30:00,18:30:00,120.0,240.0,Park for up to 2 hours. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,166,
27321,1,2P Meter,1,6,07:30:00,18:30:00,120.0,240.0,Park for up to 2 hours. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,167,
27321,2,2P,0,0,07:30:00,18:30:00,120.0,240.0,Park for up to 2 hours. No payment required.,False,timed,168,
30593,1,2P Meter,1,5,07:30:00,18:30:00,120.0,240.0,Park for up to 2 hours. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,169,
26261,1,4P,1,5,07:30:00,18:30:00,240.0,480.0,Park for up to 4 hours. No payment required.,False,timed,170,
26261,2,2P,6,6,07:30:00,12:30:00,120.0,240.0,Park for up to 2 hours. No payment required.,False,timed,171,
24856,1,2P Meter,1,6,07:30:00,18:30:00,120.0,240.0,Park for up to 2 hours. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,172,
24856,2,1/4P,1,0,07:30:00,21:00:00,15.0,30.0,Restriction: 1/4P. Check the physical sign for full details.,False,timed,173,
24856,3,2P,0,0,07:30:00,18:30:00,120.0,240.0,Park for up to 2 hours. No payment required.,False,timed,174,
27885,1,2P,1,0,07:30:00,23:00:00,120.0,240.0,Park for up to 2 hours. No payment required.,False,timed,175,
24146,1,4P Disabled Only,1,0,00:00:00,23:59:00,240.0,0.0,Park for up to 4 hours. No payment required.,False,disabled,176,
29022,1,1/2P Meter,1,6,07:30:00,18:30:00,30.0,60.0,Park for up to 30 minutes. Pay at the parking meter.,False,timed,177,
29022,2,2P,1,6,18:30:00,20:30:00,120.0,240.0,Park for up to 2 hours. No payment required.,False,timed,178,
27684,1,2P,1,0,07:30:00,23:00:00,120.0,240.0,Park for up to 2 hours. No payment required.,False,timed,179,
30294,1,2P Meter,1,6,07:30:00,18:30:00,120.0,240.0,Park for up to 2 hours. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,180,
30294,2,2P,0,0,07:30:00,18:30:00,120.0,240.0,Park for up to 2 hours. No payment required.,False,timed,181,
27646,1,2P,1,0,07:30:00,23:00:00,120.0,240.0,Park for up to 2 hours. No payment required.,False,timed,182,
30306,1,2P Disabled Only,1,0,00:00:00,23:59:00,120.0,0.0,Park for up to 2 hours. No payment required.,False,disabled,183,
30653,1,1P Meter,1,6,07:30:00,23:00:00,60.0,120.0,Park for up to 1 hour. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,184,
30653,2,1P,0,0,07:30:00,23:00:00,60.0,120.0,Park for up to 1 hour. No payment required.,False,timed,185,
27257,1,1P Meter,1,5,07:30:00,18:30:00,60.0,120.0,Park for up to 1 hour. Pay at the parking meter before leaving your vehicle. A fine of approximately $115 applies if you overstay.,False,timed,186,
